date,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2020-08-18,2.67,-4999.308,2759.0,4999.308,2455.51,1.812,7366.53
2020-08-19,2.78,-4999.308,2759.0,4999.308,2455.51,1.812,7670.02
2020-08-20,2.77,-4999.308,2759.0,4999.308,2455.51,1.812,7642.43
2020-08-21,2.79,-4999.308,2759.0,4999.308,2455.51,1.812,7697.61
2020-08-24,2.74,-4999.308,2759.0,4999.308,2455.51,1.812,7559.66
2020-08-25,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2020-08-26,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2020-08-27,2.65,-4999.308,2759.0,4999.308,2455.51,1.812,7311.35
2020-08-28,2.55,-4999.308,2759.0,4999.308,2455.51,1.812,7035.45
2020-08-31,2.52,-4999.308,2759.0,4999.308,2455.51,1.812,6952.68
2020-09-01,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-02,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-03,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-09-04,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2020-09-08,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-09,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-10,2.45,-4999.308,2759.0,4999.308,2455.51,1.812,6759.55
2020-09-11,2.58,-4999.308,2759.0,4999.308,2455.51,1.812,7118.22
2020-09-14,2.58,-4999.308,2759.0,4999.308,2455.51,1.812,7118.22
2020-09-15,2.5,-4999.308,2759.0,4999.308,2455.51,1.812,6897.5
2020-09-16,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-17,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-09-18,2.43,-4999.308,2759.0,4999.308,2455.51,1.812,6704.37
2020-09-21,2.41,-4999.308,2759.0,4999.308,2455.51,1.812,6649.19
2020-09-22,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-09-23,2.49,-4999.308,2759.0,4999.308,2455.51,1.812,6869.91
2020-09-24,2.3,-4999.308,2759.0,4999.308,2455.51,1.812,6345.7
2020-09-25,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-09-28,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-29,2.6,-4999.308,2759.0,4999.308,2455.51,1.812,7173.4
2020-09-30,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-10-01,2.54,-4999.308,2759.0,4999.308,2455.51,1.812,7007.86
2020-10-02,2.36,-4999.308,2759.0,4999.308,2455.51,1.812,6511.24
2020-10-05,2.43,-4999.308,2759.0,4999.308,2455.51,1.812,6704.37
2020-10-06,2.36,-4999.308,2759.0,4999.308,2455.51,1.812,6511.24
2020-10-07,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-10-08,2.32,-4999.308,2759.0,4999.308,2455.51,1.812,6400.88
2020-10-09,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8
2020-10-12,2.15,-4999.308,2759.0,4999.308,2455.51,1.812,5931.85
2020-10-13,2.31,-4999.308,2759.0,4999.308,2455.51,1.812,6373.29
2020-10-14,2.25,-4999.308,2759.0,4999.308,2455.51,1.812,6207.75
2020-10-15,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-10-16,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-10-19,2.34,-4999.308,2759.0,4999.308,2455.51,1.812,6456.06
2020-10-20,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-10-21,2.38,-4999.308,2759.0,4999.308,2455.51,1.812,6566.42
2020-10-22,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-10-23,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11
2020-10-26,2.18,-4999.308,2759.0,4999.308,2455.51,1.812,6014.62
2020-10-27,2.07,-4999.308,2759.0,4999.308,2455.51,1.812,5711.13
2020-10-28,1.95,-4999.308,2759.0,4999.308,2455.51,1.812,5380.05
2020-10-29,1.98,-4999.308,2759.0,4999.308,2455.51,1.812,5462.82
2020-10-30,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-11-02,2.01,-4999.308,2759.0,4999.308,2455.51,1.812,5545.59
2020-11-03,2.11,-4999.308,2759.0,4999.308,2455.51,1.812,5821.49
2020-11-04,2.06,-4999.308,2759.0,4999.308,2455.51,1.812,5683.54
2020-11-05,2.16,-4999.308,2759.0,4999.308,2455.51,1.812,5959.44
2020-11-06,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67
2020-11-09,2.03,-4999.308,2759.0,4999.308,2455.51,1.812,5600.77
2020-11-10,1.9,-4999.308,2759.0,4999.308,2455.51,1.812,5242.1
2020-11-11,2.0,-4999.308,2759.0,4999.308,2455.51,1.812,5518.0
2020-11-12,2.04,-4999.308,2759.0,4999.308,2455.51,1.812,5628.36
2020-11-13,1.96,-4999.308,2759.0,4999.308,2455.51,1.812,5407.64
2020-11-16,1.99,-4999.308,2759.0,4999.308,2455.51,1.812,5490.41
2020-11-17,1.99,-4999.308,2759.0,4999.308,2455.51,1.812,5490.41
2020-11-18,1.98,-4999.308,2759.0,4999.308,2455.51,1.812,5462.82
2020-11-19,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-11-20,2.03,-4999.308,2759.0,4999.308,2455.51,1.812,5600.77
2020-11-23,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-11-24,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-11-25,2.06,-4999.308,2759.0,4999.308,2455.51,1.812,5683.54
2020-11-27,2.04,-4999.308,2759.0,4999.308,2455.51,1.812,5628.36
2020-11-30,2.01,-4999.308,2759.0,4999.308,2455.51,1.812,5545.59
2020-12-01,1.84,-4999.308,2759.0,4999.308,2455.51,1.812,5076.56
2020-12-02,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
