date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,DBP_adj_close,DBP_cashflow,DBP_cml_units,DBP_cml_cost,DBP_gain_loss,DBP_avg_price,DBP_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-06-14,14.998,-4995.215,384.615,4995.215,0.0,12.988,5768.579,37.19,-4995.62,121.951,4995.62,0.0,40.964,4535.366,50.23,-4999.54,92.593,4999.54,0.0,53.995,4650.926,36.545,-4990.601,142.857,4990.601,0.0,34.934,5220.753,6.161,-4998.737,1250.0,4998.737,0.0,3.999,7700.989
2019-06-17,15.175,-4995.215,384.615,4995.215,0.0,12.988,5836.644,37.28,-4995.62,121.951,4995.62,0.0,40.964,4546.341,49.9,-4999.54,92.593,4999.54,0.0,53.995,4620.371,36.555,-4990.601,142.857,4990.601,0.0,34.934,5222.163,6.273,-4998.737,1250.0,4998.737,0.0,3.999,7841.008
2019-06-18,15.635,-4995.215,384.615,4995.215,0.0,12.988,6013.615,38.34,-4995.62,121.951,4995.62,0.0,40.964,4675.61,51.7,-4999.54,92.593,4999.54,0.0,53.995,4787.037,36.772,-4990.601,142.857,4990.601,0.0,34.934,5253.189,6.6,-4998.737,1250.0,4998.737,0.0,3.999,8250.291
2019-06-19,15.919,-4995.215,384.615,4995.215,0.0,12.988,6122.521,38.77,-4995.62,121.951,4995.62,0.0,40.964,4728.049,52.03,-4999.54,92.593,4999.54,0.0,53.995,4817.592,36.97,-4990.601,142.857,4990.601,0.0,34.934,5281.394,6.376,-4998.737,1250.0,4998.737,0.0,3.999,7970.255
2019-06-20,16.441,-4995.215,384.615,4995.215,0.0,12.988,6323.314,39.15,-4995.62,121.951,4995.62,0.0,40.964,4774.39,52.49,-4999.54,92.593,4999.54,0.0,53.995,4860.185,37.908,-4990.601,142.857,4990.601,0.0,34.934,5415.368,6.325,-4998.737,1250.0,4998.737,0.0,3.999,7905.631
2019-06-21,16.573,-4995.215,384.615,4995.215,0.0,12.988,6374.364,38.6,-4995.62,121.951,4995.62,0.0,40.964,4707.317,52.17,-4999.54,92.593,4999.54,0.0,53.995,4830.555,38.026,-4990.601,142.857,4990.601,0.0,34.934,5432.291,6.497,-4998.737,1250.0,4998.737,0.0,3.999,8121.043
2019-06-24,16.582,-4995.215,384.615,4995.215,0.0,12.988,6377.767,38.68,-4995.62,121.951,4995.62,0.0,40.964,4717.073,52.63,-4999.54,92.593,4999.54,0.0,53.995,4873.148,38.52,-4990.601,142.857,4990.601,0.0,34.934,5502.803,6.333,-4998.737,1250.0,4998.737,0.0,3.999,7916.402
2019-06-25,16.564,-4995.215,384.615,4995.215,0.0,12.988,6370.96,38.57,-4995.62,121.951,4995.62,0.0,40.964,4703.658,53.1,-4999.54,92.593,4999.54,0.0,53.995,4916.667,38.549,-4990.601,142.857,4990.601,0.0,34.934,5507.034,6.462,-4998.737,1250.0,4998.737,0.0,3.999,8077.961
2019-06-26,16.609,-4995.215,384.615,4995.215,0.0,12.988,6387.977,39.33,-4995.62,121.951,4995.62,0.0,40.964,4796.342,53.14,-4999.54,92.593,4999.54,0.0,53.995,4920.37,38.204,-4990.601,142.857,4990.601,0.0,34.934,5457.675,6.281,-4998.737,1250.0,4998.737,0.0,3.999,7851.778
2019-06-27,16.281,-4995.215,384.615,4995.215,0.0,12.988,6262.055,39.49,-4995.62,121.951,4995.62,0.0,40.964,4815.854,53.11,-4999.54,92.593,4999.54,0.0,53.995,4917.593,38.184,-4990.601,142.857,4990.601,0.0,34.934,5454.855,6.419,-4998.737,1250.0,4998.737,0.0,3.999,8024.108
2019-06-28,16.184,-4995.215,384.615,4995.215,0.0,12.988,6224.619,39.48,-4995.62,121.951,4995.62,0.0,40.964,4814.634,53.06,-4999.54,92.593,4999.54,0.0,53.995,4912.963,38.243,-4990.601,142.857,4990.601,0.0,34.934,5463.316,6.531,-4998.737,1250.0,4998.737,0.0,3.999,8164.126
2019-07-01,16.564,-4995.215,384.615,4995.215,0.0,12.988,6370.96,39.87,-4995.62,121.951,4995.62,0.0,40.964,4862.195,54.03,-4999.54,92.593,4999.54,0.0,53.995,5002.778,37.621,-4990.601,142.857,4990.601,0.0,34.934,5374.47,6.505,-4998.737,1250.0,4998.737,0.0,3.999,8131.814
2019-07-02,16.016,-4995.215,384.615,4995.215,0.0,12.988,6159.956,39.45,-4995.62,121.951,4995.62,0.0,40.964,4810.976,53.22,-4999.54,92.593,4999.54,0.0,53.995,4927.778,38.362,-4990.601,142.857,4990.601,0.0,34.934,5480.239,6.35,-4998.737,1250.0,4998.737,0.0,3.999,7937.943
2019-07-03,16.211,-4995.215,384.615,4995.215,0.0,12.988,6234.829,38.68,-4995.62,121.951,4995.62,0.0,40.964,4717.073,52.61,-4999.54,92.593,4999.54,0.0,53.995,4871.296,38.46,-4990.601,142.857,4990.601,0.0,34.934,5494.341,6.928,-4998.737,1250.0,4998.737,0.0,3.999,8659.574
2019-07-05,16.6,-4995.215,384.615,4995.215,0.0,12.988,6384.574,37.62,-4995.62,121.951,4995.62,0.0,40.964,4587.805,52.51,-4999.54,92.593,4999.54,0.0,53.995,4862.037,37.977,-4990.601,142.857,4990.601,0.0,34.934,5425.24,6.695,-4998.737,1250.0,4998.737,0.0,3.999,8368.767
