date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-06-16,4.375,-4998.685,625.0,4998.685,0.0,7.998,2734.394,26.428,-4954.851,96.154,4954.851,0.0,51.53,2541.129
2020-06-17,4.3,-4998.685,625.0,4998.685,0.0,7.998,2687.249,26.611,-4954.851,96.154,4954.851,0.0,51.53,2558.705
2020-06-18,4.3,-4998.685,625.0,4998.685,0.0,7.998,2687.249,26.322,-4954.851,96.154,4954.851,0.0,51.53,2530.954
2020-06-19,4.252,-4998.685,625.0,4998.685,0.0,7.998,2657.784,26.36,-4954.851,96.154,4954.851,0.0,51.53,2534.654
2020-06-22,4.111,-4998.685,625.0,4998.685,0.0,7.998,2569.387,25.09,-4954.851,96.154,4954.851,0.0,51.53,2412.546
2020-06-23,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677,25.687,-4954.851,96.154,4954.851,0.0,51.53,2469.9
2020-06-24,4.092,-4998.685,625.0,4998.685,0.0,7.998,2557.602,25.36,-4954.851,96.154,4954.851,0.0,51.53,2438.448
2020-06-25,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677,25.572,-4954.851,96.154,4954.851,0.0,51.53,2458.799
2020-06-26,4.12,-4998.685,625.0,4998.685,0.0,7.998,2575.281,25.389,-4954.851,96.154,4954.851,0.0,51.53,2441.223
2020-06-29,4.054,-4998.685,625.0,4998.685,0.0,7.998,2534.029,25.543,-4954.851,96.154,4954.851,0.0,51.53,2456.017
2020-06-30,4.111,-4998.685,625.0,4998.685,0.0,7.998,2569.387,25.62,-4954.851,96.154,4954.851,0.0,51.53,2463.508
2020-07-01,4.111,-4998.685,625.0,4998.685,0.0,7.998,2569.387,25.991,-4954.851,96.154,4954.851,0.0,51.53,2499.089
2020-07-02,4.243,-4998.685,625.0,4998.685,0.0,7.998,2651.891,26.594,-4954.851,96.154,4954.851,0.0,51.53,2557.142
2020-07-06,4.318,-4998.685,625.0,4998.685,0.0,7.998,2699.036,26.799,-4954.851,96.154,4954.851,0.0,51.53,2576.805
2020-07-07,4.29,-4998.685,625.0,4998.685,0.0,7.998,2681.356,26.682,-4954.851,96.154,4954.851,0.0,51.53,2565.569
2020-07-08,4.422,-4998.685,625.0,4998.685,0.0,7.998,2763.86,27.636,-4954.851,96.154,4954.851,0.0,51.53,2657.33
2020-07-09,4.366,-4998.685,625.0,4998.685,0.0,7.998,2728.502,26.925,-4954.851,96.154,4954.851,0.0,51.53,2588.977
2020-07-10,4.375,-4998.685,625.0,4998.685,0.0,7.998,2734.394,27.373,-4954.851,96.154,4954.851,0.0,51.53,2632.049
