date,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,ZLAB_adj_close,ZLAB_cashflow,ZLAB_cml_units,ZLAB_cml_cost,ZLAB_gain_loss,ZLAB_avg_price,ZLAB_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-05-03,1.22,-4999.04,5000.0,4999.04,0.0,1.0,6100.0,26.37,-4992.3,217.391,4992.3,0.0,22.965,5732.609,8.46,-4994.37,714.286,4994.37,0.0,6.992,6042.857,6.71,-4999.54,2500.0,4999.54,0.0,2.0,16775.0,7.927,-4998.737,1250.0,4998.737,0.0,3.999,9908.965,9.32,-4998.0,833.333,4998.0,0.0,5.998,7766.666,2.46,-4998.96,5000.0,4998.96,0.0,1.0,12300.0
2019-05-06,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,27.83,-4992.3,217.391,4992.3,0.0,22.965,6050.0,8.76,-4994.37,714.286,4994.37,0.0,6.992,6257.143,6.86,-4999.54,2500.0,4999.54,0.0,2.0,17150.0,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194,9.33,-4998.0,833.333,4998.0,0.0,5.998,7775.0,2.41,-4998.96,5000.0,4998.96,0.0,1.0,12050.0
2019-05-07,1.22,-4999.04,5000.0,4999.04,0.0,1.0,6100.0,27.05,-4992.3,217.391,4992.3,0.0,22.965,5880.435,8.89,-4994.37,714.286,4994.37,0.0,6.992,6350.0,7.15,-4999.54,2500.0,4999.54,0.0,2.0,17875.0,7.884,-4998.737,1250.0,4998.737,0.0,3.999,9855.112,9.5,-4998.0,833.333,4998.0,0.0,5.998,7916.667,2.4,-4998.96,5000.0,4998.96,0.0,1.0,12000.0
2019-05-08,1.21,-4999.04,5000.0,4999.04,0.0,1.0,6050.0,27.82,-4992.3,217.391,4992.3,0.0,22.965,6047.826,8.97,-4994.37,714.286,4994.37,0.0,6.992,6407.143,7.93,-4999.54,2500.0,4999.54,0.0,2.0,19825.0,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084,9.48,-4998.0,833.333,4998.0,0.0,5.998,7900.0,2.54,-4998.96,5000.0,4998.96,0.0,1.0,12700.0
2019-05-09,1.21,-4999.04,5000.0,4999.04,0.0,1.0,6050.0,28.19,-4992.3,217.391,4992.3,0.0,22.965,6128.261,8.71,-4994.37,714.286,4994.37,0.0,6.992,6221.429,7.93,-4999.54,2500.0,4999.54,0.0,2.0,19825.0,8.039,-4998.737,1250.0,4998.737,0.0,3.999,10048.983,9.43,-4998.0,833.333,4998.0,0.0,5.998,7858.334,2.65,-4998.96,5000.0,4998.96,0.0,1.0,13250.0
2019-05-10,1.18,-4999.04,5000.0,4999.04,0.0,1.0,5900.0,28.13,-4992.3,217.391,4992.3,0.0,22.965,6115.217,8.6,-4994.37,714.286,4994.37,0.0,6.992,6142.857,8.09,-4999.54,2500.0,4999.54,0.0,2.0,20225.0,8.453,-4998.737,1250.0,4998.737,0.0,3.999,10565.974,9.41,-4998.0,833.333,4998.0,0.0,5.998,7841.667,2.63,-4998.96,5000.0,4998.96,0.0,1.0,13150.001
2019-05-13,1.19,-4999.04,5000.0,4999.04,0.0,1.0,5950.0,27.88,-4992.3,217.391,4992.3,0.0,22.965,6060.869,8.12,-4994.37,714.286,4994.37,0.0,6.992,5800.0,7.61,-4999.54,2500.0,4999.54,0.0,2.0,19025.0,8.082,-4998.737,1250.0,4998.737,0.0,3.999,10102.836,9.34,-4998.0,833.333,4998.0,0.0,5.998,7783.333,2.52,-4998.96,5000.0,4998.96,0.0,1.0,12600.0
2019-05-14,1.28,-4999.04,5000.0,4999.04,0.0,1.0,6400.0,28.01,-4992.3,217.391,4992.3,0.0,22.965,6089.13,8.55,-4994.37,714.286,4994.37,0.0,6.992,6107.143,7.49,-4999.54,2500.0,4999.54,0.0,2.0,18724.999,7.97,-4998.737,1250.0,4998.737,0.0,3.999,9962.819,9.35,-4998.0,833.333,4998.0,0.0,5.998,7791.667,2.57,-4998.96,5000.0,4998.96,0.0,1.0,12850.0
2019-05-15,1.26,-4999.04,5000.0,4999.04,0.0,1.0,6300.0,28.41,-4992.3,217.391,4992.3,0.0,22.965,6176.087,8.63,-4994.37,714.286,4994.37,0.0,6.992,6164.286,7.31,-4999.54,2500.0,4999.54,0.0,2.0,18275.0,8.1,-4998.737,1250.0,4998.737,0.0,3.999,10124.377,9.3,-4998.0,833.333,4998.0,0.0,5.998,7750.0,2.63,-4998.96,5000.0,4998.96,0.0,1.0,13150.001
2019-05-16,1.23,-4999.04,5000.0,4999.04,0.0,1.0,6150.0,27.05,-4992.3,217.391,4992.3,0.0,22.965,5880.435,8.41,-4994.37,714.286,4994.37,0.0,6.992,6007.143,5.94,-4999.54,2500.0,4999.54,0.0,2.0,14850.0,7.962,-4998.737,1250.0,4998.737,0.0,3.999,9952.047,9.33,-4998.0,833.333,4998.0,0.0,5.998,7775.0,2.68,-4998.96,5000.0,4998.96,0.0,1.0,13400.0
2019-05-17,1.22,-4999.04,5000.0,4999.04,0.0,1.0,6100.0,27.2,-4992.3,217.391,4992.3,0.0,22.965,5913.044,8.47,-4994.37,714.286,4994.37,0.0,6.992,6050.0,5.46,-4999.54,2500.0,4999.54,0.0,2.0,13650.0,7.824,-4998.737,1250.0,4998.737,0.0,3.999,9779.718,9.3,-4998.0,833.333,4998.0,0.0,5.998,7750.0,2.76,-4998.96,5000.0,4998.96,0.0,1.0,13800.0
