date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-08-27,47.17,-4990.56,131.579,4990.56,0.0,37.928,6206.579,10.79,-4999.54,2500.0,4999.54,0.0,2.0,26975.0,16.13,-4998.737,1250.0,4998.737,0.0,3.999,20162.499,64.07,-4997.3,625.0,4997.3,0.0,7.996,40043.75,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-08-30,44.8,-4990.56,131.579,4990.56,0.0,37.928,5894.737,10.88,-4999.54,2500.0,4999.54,0.0,2.0,27200.0,16.21,-4998.737,1250.0,4998.737,0.0,3.999,20262.499,64.72,-4997.3,625.0,4997.3,0.0,7.996,40450.001,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-08-31,45.51,-4990.56,131.579,4990.56,0.0,37.928,5988.158,11.58,-4999.54,2500.0,4999.54,0.0,2.0,28950.0,15.97,-4998.737,1250.0,4998.737,0.0,3.999,19962.5,64.43,-4997.3,625.0,4997.3,0.0,7.996,40268.75,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-09-01,45.89,-4990.56,131.579,4990.56,0.0,37.928,6038.158,11.36,-4999.54,2500.0,4999.54,0.0,2.0,28399.999,16.14,-4998.737,1250.0,4998.737,0.0,3.999,20174.999,64.34,-4997.3,625.0,4997.3,0.0,7.996,40212.498,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-09-02,45.88,-4990.56,131.579,4990.56,0.0,37.928,6036.842,12.49,-4999.54,2500.0,4999.54,0.0,2.0,31224.999,16.09,-4998.737,1250.0,4998.737,0.0,3.999,20112.5,63.79,-4997.3,625.0,4997.3,0.0,7.996,39868.751,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-09-03,45.87,-4990.56,131.579,4990.56,0.0,37.928,6035.526,11.51,-4999.54,2500.0,4999.54,0.0,2.0,28775.001,15.92,-4998.737,1250.0,4998.737,0.0,3.999,19900.0,63.45,-4997.3,625.0,4997.3,0.0,7.996,39656.25,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-09-07,44.39,-4990.56,131.579,4990.56,0.0,37.928,5840.789,12.04,-4999.54,2500.0,4999.54,0.0,2.0,30100.0,15.71,-4998.737,1250.0,4998.737,0.0,3.999,19637.5,62.54,-4997.3,625.0,4997.3,0.0,7.996,39087.501,2.0,-4998.0,833.333,4998.0,0.0,5.998,1666.667
2021-09-08,44.88,-4990.56,131.579,4990.56,0.0,37.928,5905.263,11.49,-4999.54,2500.0,4999.54,0.0,2.0,28724.999,15.68,-4998.737,1250.0,4998.737,0.0,3.999,19600.0,62.13,-4997.3,625.0,4997.3,0.0,7.996,38831.251,2.0,-4998.0,833.333,4998.0,0.0,5.998,1666.667
2021-09-09,44.77,-4990.56,131.579,4990.56,0.0,37.928,5890.79,11.34,-4999.54,2500.0,4999.54,0.0,2.0,28350.0,15.64,-4998.737,1250.0,4998.737,0.0,3.999,19550.0,62.0,-4997.3,625.0,4997.3,0.0,7.996,38750.0,2.0,-4998.0,833.333,4998.0,0.0,5.998,1666.667
2021-09-10,44.02,-4990.56,131.579,4990.56,0.0,37.928,5792.105,11.48,-4999.54,2500.0,4999.54,0.0,2.0,28699.999,15.7,-4998.737,1250.0,4998.737,0.0,3.999,19625.0,61.1,-4997.3,625.0,4997.3,0.0,7.996,38187.499,2.0,-4998.0,833.333,4998.0,0.0,5.998,1666.667
