date,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue
2021-02-17,3.95,-4991.0,310.0,4991.0,446.4,16.1,1224.5
2021-02-18,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2021-02-19,3.96,-4991.0,310.0,4991.0,446.4,16.1,1227.6
2021-02-22,3.88,-4991.0,310.0,4991.0,446.4,16.1,1202.8
2021-02-23,3.98,-4991.0,310.0,4991.0,446.4,16.1,1233.8
2021-02-24,4.16,-4991.0,310.0,4991.0,446.4,16.1,1289.6
2021-02-25,3.99,-4991.0,310.0,4991.0,446.4,16.1,1236.9
2021-02-26,3.89,-4991.0,310.0,4991.0,446.4,16.1,1205.9
2021-03-01,4.27,-4991.0,310.0,4991.0,446.4,16.1,1323.7
2021-03-02,4.35,-4991.0,310.0,4991.0,446.4,16.1,1348.5
2021-03-03,4.09,-4991.0,310.0,4991.0,446.4,16.1,1267.9
2021-03-04,4.22,-4991.0,310.0,4991.0,446.4,16.1,1308.2
2021-03-05,4.36,-4991.0,310.0,4991.0,446.4,16.1,1351.6
2021-03-08,4.5,-4991.0,310.0,4991.0,446.4,16.1,1395.0
2021-03-09,4.47,-4991.0,310.0,4991.0,446.4,16.1,1385.7
2021-03-10,4.7,-4991.0,310.0,4991.0,446.4,16.1,1457.0
2021-03-11,4.95,-4991.0,310.0,4991.0,446.4,16.1,1534.5
2021-03-12,4.96,-4991.0,310.0,4991.0,446.4,16.1,1537.6
2021-03-15,5.39,-4991.0,310.0,4991.0,446.4,16.1,1670.9
2021-03-16,5.54,-4991.0,310.0,4991.0,446.4,16.1,1717.4
2021-03-17,5.57,-4991.0,310.0,4991.0,446.4,16.1,1726.7
2021-03-18,5.32,-4991.0,310.0,4991.0,446.4,16.1,1649.2
2021-03-19,5.32,-4991.0,310.0,4991.0,446.4,16.1,1649.2
2021-03-22,5.37,-4991.0,310.0,4991.0,446.4,16.1,1664.7
2021-03-23,5.28,-4991.0,310.0,4991.0,446.4,16.1,1636.8
2021-03-24,5.82,-4991.0,310.0,4991.0,446.4,16.1,1804.2
2021-03-25,6.12,-4991.0,310.0,4991.0,446.4,16.1,1897.2
2021-03-26,5.98,-4991.0,310.0,4991.0,446.4,16.1,1853.8
2021-03-29,5.88,-4991.0,310.0,4991.0,446.4,16.1,1822.8
2021-03-30,5.89,-4991.0,310.0,4991.0,446.4,16.1,1825.9
2021-03-31,6.1,-4991.0,310.0,4991.0,446.4,16.1,1891.0
2021-04-01,6.24,-4991.0,310.0,4991.0,446.4,16.1,1934.4
2021-04-05,6.01,-4991.0,310.0,4991.0,446.4,16.1,1863.1
2021-04-06,6.07,-4991.0,310.0,4991.0,446.4,16.1,1881.7
2021-04-07,6.04,-4991.0,310.0,4991.0,446.4,16.1,1872.4
2021-04-08,6.03,-4991.0,310.0,4991.0,446.4,16.1,1869.3
2021-04-09,6.0,-4991.0,310.0,4991.0,446.4,16.1,1860.0
2021-04-12,5.72,-4991.0,310.0,4991.0,446.4,16.1,1773.2
2021-04-13,5.64,-4991.0,310.0,4991.0,446.4,16.1,1748.4
2021-04-14,5.77,-4991.0,310.0,4991.0,446.4,16.1,1788.7
2021-04-15,5.84,-4991.0,310.0,4991.0,446.4,16.1,1810.4
2021-04-16,5.75,-4991.0,310.0,4991.0,446.4,16.1,1782.5
2021-04-19,5.84,-4991.0,310.0,4991.0,446.4,16.1,1810.4
2021-04-20,5.73,-4991.0,310.0,4991.0,446.4,16.1,1776.3
2021-04-21,5.85,-4991.0,310.0,4991.0,446.4,16.1,1813.5
2021-04-22,5.88,-4991.0,310.0,4991.0,446.4,16.1,1822.8
2021-04-23,5.78,-4991.0,310.0,4991.0,446.4,16.1,1791.8
2021-04-26,5.86,-4991.0,310.0,4991.0,446.4,16.1,1816.6
2021-04-27,6.07,-4991.0,310.0,4991.0,446.4,16.1,1881.7
2021-04-28,6.02,-4991.0,310.0,4991.0,446.4,16.1,1866.2
2021-04-29,5.87,-4991.0,310.0,4991.0,446.4,16.1,1819.7
2021-04-30,6.03,-4991.0,310.0,4991.0,446.4,16.1,1869.3
2021-05-03,6.16,-4991.0,310.0,4991.0,446.4,16.1,1909.6
2021-05-04,6.25,-4991.0,310.0,4991.0,446.4,16.1,1937.5
2021-05-05,6.4,-4991.0,310.0,4991.0,446.4,16.1,1984.0
2021-05-06,6.37,-4991.0,310.0,4991.0,446.4,16.1,1974.7
2021-05-07,5.8,-4991.0,310.0,4991.0,446.4,16.1,1798.0
