date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2020-01-15,56.54,-4989.16,192.308,4989.16,0.0,25.944,10873.077,8.169,-4997.449,1000.0,4997.449,0.0,4.997,8168.982,9.1,-4999.54,2500.0,4999.54,0.0,2.0,22750.001,21.49,-4998.737,1250.0,4998.737,0.0,3.999,26861.913
2020-01-16,56.13,-4989.16,192.308,4989.16,0.0,25.944,10794.231,8.076,-4997.449,1000.0,4997.449,0.0,4.997,8075.941,9.82,-4999.54,2500.0,4999.54,0.0,2.0,24549.999,21.451,-4998.737,1250.0,4998.737,0.0,3.999,26813.445
2020-01-17,54.02,-4989.16,192.308,4989.16,0.0,25.944,10388.462,8.076,-4997.449,1000.0,4997.449,0.0,4.997,8075.941,10.03,-4999.54,2500.0,4999.54,0.0,2.0,25074.999,20.938,-4998.737,1250.0,4998.737,0.0,3.999,26172.593
2020-01-21,51.95,-4989.16,192.308,4989.16,0.0,25.944,9990.385,8.002,-4997.449,1000.0,4997.449,0.0,4.997,8001.506,12.33,-4999.54,2500.0,4999.54,0.0,2.0,30825.0,19.827,-4998.737,1250.0,4998.737,0.0,3.999,24783.185
2020-01-22,49.4,-4989.16,192.308,4989.16,0.0,25.944,9500.0,8.122,-4997.449,1000.0,4997.449,0.0,4.997,8122.459,13.74,-4999.54,2500.0,4999.54,0.0,2.0,34349.999,19.456,-4998.737,1250.0,4998.737,0.0,3.999,24320.047
2020-01-23,48.43,-4989.16,192.308,4989.16,0.0,25.944,9313.462,8.067,-4997.449,1000.0,4997.449,0.0,4.997,8066.634,14.12,-4999.54,2500.0,4999.54,0.0,2.0,35300.0,19.637,-4998.737,1250.0,4998.737,0.0,3.999,24546.232
2020-01-24,46.68,-4989.16,192.308,4989.16,0.0,25.944,8976.923,7.955,-4997.449,1000.0,4997.449,0.0,4.997,7954.986,13.96,-4999.54,2500.0,4999.54,0.0,2.0,34900.0,19.99,-4998.737,1250.0,4998.737,0.0,3.999,24987.826
2020-01-27,47.43,-4989.16,192.308,4989.16,0.0,25.944,9121.154,7.741,-4997.449,1000.0,4997.449,0.0,4.997,7740.993,13.26,-4999.54,2500.0,4999.54,0.0,2.0,33150.001,20.059,-4998.737,1250.0,4998.737,0.0,3.999,25073.991
2020-01-28,49.96,-4989.16,192.308,4989.16,0.0,25.944,9607.692,7.862,-4997.449,1000.0,4997.449,0.0,4.997,7861.945,14.18,-4999.54,2500.0,4999.54,0.0,2.0,35450.001,19.87,-4998.737,1250.0,4998.737,0.0,3.999,24837.036
2020-01-29,49.79,-4989.16,192.308,4989.16,0.0,25.944,9575.0,7.862,-4997.449,1000.0,4997.449,0.0,4.997,7861.945,13.8,-4999.54,2500.0,4999.54,0.0,2.0,34500.0,19.594,-4998.737,1250.0,4998.737,0.0,3.999,24492.376
