date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2020-09-16,30.898,-4995.62,42.017,4995.62,0.0,118.896,1298.235
2020-09-17,31.148,-4995.62,42.017,4995.62,0.0,118.896,1308.741
2020-09-18,30.735,-4995.62,42.017,4995.62,0.0,118.896,1291.366
2020-09-21,30.638,-4995.62,42.017,4995.62,0.0,118.896,1287.326
2020-09-22,30.908,-4995.62,42.017,4995.62,0.0,118.896,1298.639
2020-09-23,30.177,-4995.62,42.017,4995.62,0.0,118.896,1267.931
2020-09-24,30.513,-4995.62,42.017,4995.62,0.0,118.896,1282.073
2020-09-25,31.417,-4995.62,42.017,4995.62,0.0,118.896,1320.054
2020-09-28,31.475,-4995.62,42.017,4995.62,0.0,118.896,1322.479
2020-09-29,30.561,-4995.62,42.017,4995.62,0.0,118.896,1284.093
2020-09-30,30.888,-4995.62,42.017,4995.62,0.0,118.896,1297.831
2020-10-01,31.283,-4995.62,42.017,4995.62,0.0,118.896,1314.398
2020-10-02,31.071,-4995.62,42.017,4995.62,0.0,118.896,1305.508
2020-10-05,32.533,-4995.62,42.017,4995.62,0.0,118.896,1366.925
2020-10-06,32.081,-4995.62,42.017,4995.62,0.0,118.896,1347.934
2020-10-07,33.062,-4995.62,42.017,4995.62,0.0,118.896,1389.148
2020-10-08,32.889,-4995.62,42.017,4995.62,0.0,118.896,1381.875
2020-10-09,33.283,-4995.62,42.017,4995.62,0.0,118.896,1398.442
2020-10-12,34.043,-4995.62,42.017,4995.62,0.0,118.896,1430.362
2020-10-13,33.427,-4995.62,42.017,4995.62,0.0,118.896,1404.502
2020-10-14,32.571,-4995.62,42.017,4995.62,0.0,118.896,1368.541
2020-10-15,33.071,-4995.62,42.017,4995.62,0.0,118.896,1389.552
2020-10-16,33.283,-4995.62,42.017,4995.62,0.0,118.896,1398.442
2020-10-19,33.773,-4995.62,42.017,4995.62,0.0,118.896,1419.048
2020-10-20,34.264,-4995.62,42.017,4995.62,0.0,118.896,1439.655
2020-10-21,34.995,-4995.62,42.017,4995.62,0.0,118.896,1470.364
2020-10-22,35.543,-4995.62,42.017,4995.62,0.0,118.896,1493.395
2020-10-23,36.177,-4995.62,42.017,4995.62,0.0,118.896,1520.063
2020-10-26,35.716,-4995.62,42.017,4995.62,0.0,118.896,1500.668
2020-10-27,35.158,-4995.62,42.017,4995.62,0.0,118.896,1477.233
2020-10-28,34.745,-4995.62,42.017,4995.62,0.0,118.896,1459.858
2020-10-29,34.668,-4995.62,42.017,4995.62,0.0,118.896,1456.626
2020-10-30,34.36,-4995.62,42.017,4995.62,0.0,118.896,1443.696
2020-11-02,35.879,-4995.62,42.017,4995.62,0.0,118.896,1507.537
2020-11-03,36.774,-4995.62,42.017,4995.62,0.0,118.896,1545.114
2020-11-04,35.601,-4995.62,42.017,4995.62,0.0,118.896,1495.819
2020-11-05,36.928,-4995.62,42.017,4995.62,0.0,118.896,1551.579
2020-11-06,36.841,-4995.62,42.017,4995.62,0.0,118.896,1547.943
2020-11-09,38.668,-4995.62,42.017,4995.62,0.0,118.896,1624.714
2020-11-10,38.87,-4995.62,42.017,4995.62,0.0,118.896,1633.199
2020-11-11,40.563,-4995.62,42.017,4995.62,0.0,118.896,1704.313
2020-11-12,39.62,-4995.62,42.017,4995.62,0.0,118.896,1664.715
2020-11-13,39.697,-4995.62,42.017,4995.62,0.0,118.896,1667.948
2020-11-16,39.822,-4995.62,42.017,4995.62,0.0,118.896,1673.2
2020-11-17,40.38,-4995.62,42.017,4995.62,0.0,118.896,1696.636
2020-11-18,40.64,-4995.62,42.017,4995.62,0.0,118.896,1707.545
2020-11-19,39.851,-4995.62,42.017,4995.62,0.0,118.896,1674.412
2020-11-20,39.813,-4995.62,42.017,4995.62,0.0,118.896,1672.796
2020-11-23,40.188,-4995.62,42.017,4995.62,0.0,118.896,1688.555
2020-11-24,40.842,-4995.62,42.017,4995.62,0.0,118.896,1716.031
2020-11-25,41.726,-4995.62,42.017,4995.62,0.0,118.896,1753.204
2020-11-27,41.938,-4995.62,42.017,4995.62,0.0,118.896,1762.093
2020-11-30,39.995,-4995.62,42.017,4995.62,0.0,118.896,1680.473
2020-12-01,40.428,-4995.62,42.017,4995.62,0.0,118.896,1698.656
2020-12-02,41.111,-4995.62,42.017,4995.62,0.0,118.896,1727.344
2020-12-03,41.544,-4995.62,42.017,4995.62,0.0,118.896,1745.527
2020-12-04,42.149,-4995.62,42.017,4995.62,0.0,118.896,1770.982
2020-12-07,41.592,-4995.62,42.017,4995.62,0.0,118.896,1747.547
2020-12-08,40.399,-4995.62,42.017,4995.62,0.0,118.896,1697.444
