date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue
2020-11-23,24.677,-486.33,118.027,4476.78,190.4,37.93,2912.577
2020-11-24,25.689,-486.33,118.027,4476.78,190.4,37.93,3031.992
2020-11-25,25.776,-486.33,118.027,4476.78,190.4,37.93,3042.227
2020-11-27,25.91,-486.33,118.027,4476.78,190.4,37.93,3058.149
2020-11-30,24.947,-486.33,118.027,4476.78,190.4,37.93,2944.421
2020-12-01,26.296,-486.33,118.027,4476.78,190.4,37.93,3103.641
2020-12-02,26.768,-486.33,118.027,4476.78,190.4,37.93,3159.367
2020-12-03,27.134,-486.33,118.027,4476.78,190.4,37.93,3202.584
2020-12-04,27.337,-486.33,118.027,4476.78,190.4,37.93,3226.467
2020-12-07,26.325,-486.33,118.027,4476.78,190.4,37.93,3107.052
2020-12-08,25.65,-486.33,118.027,4476.78,190.4,37.93,3027.443
2020-12-09,25.93,-486.33,118.027,4476.78,190.4,37.93,3060.424
2020-12-10,25.805,-486.33,118.027,4476.78,190.4,37.93,3045.639
2020-12-11,25.583,-486.33,118.027,4476.78,190.4,37.93,3019.481
2020-12-14,25.708,-486.33,118.027,4476.78,190.4,37.93,3034.266
2020-12-15,25.959,-486.33,118.027,4476.78,190.4,37.93,3063.836
2020-12-16,25.689,-486.33,118.027,4476.78,190.4,37.93,3031.992
2020-12-17,25.718,-486.33,118.027,4476.78,190.4,37.93,3035.403
2020-12-18,25.246,-486.33,118.027,4476.78,190.4,37.93,2979.677
2020-12-21,24.648,-486.33,118.027,4476.78,190.4,37.93,2909.165
2020-12-22,24.6,-486.33,118.027,4476.78,190.4,37.93,2903.479
2020-12-23,25.082,-486.33,118.027,4476.78,190.4,37.93,2960.343
2020-12-24,25.101,-486.33,118.027,4476.78,190.4,37.93,2962.617
2020-12-28,24.908,-486.33,118.027,4476.78,190.4,37.93,2939.872
2020-12-29,24.879,-486.33,118.027,4476.78,190.4,37.93,2936.46
2020-12-30,24.995,-486.33,118.027,4476.78,190.4,37.93,2950.107
2020-12-31,24.966,-486.33,118.027,4476.78,190.4,37.93,2946.695
