date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,ICCT_adj_close,ICCT_cashflow,ICCT_cml_units,ICCT_cml_cost,ICCT_gain_loss,ICCT_avg_price,ICCT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-12-04,42.149,-4995.62,42.017,4995.62,0.0,118.896,1770.982,12.02,-4999.54,2.87,4999.54,0.0,1741.84,34.501,16.414,-4998.737,4.378,4998.737,0.0,1141.712,71.867,0.13,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.14,-4998.0,6.803,4998.0,0.0,734.706,55.374
2020-12-07,41.592,-4995.62,42.017,4995.62,0.0,118.896,1747.547,14.24,-4999.54,2.87,4999.54,0.0,1741.84,40.873,15.897,-4998.737,4.378,4998.737,0.0,1141.712,69.603,0.13,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.96,-4998.0,6.803,4998.0,0.0,734.706,54.15
2020-12-08,40.399,-4995.62,42.017,4995.62,0.0,118.896,1697.444,15.42,-4999.54,2.87,4999.54,0.0,1741.84,44.259,15.958,-4998.737,4.378,4998.737,0.0,1141.712,69.868,0.095,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.96,-4998.0,6.803,4998.0,0.0,734.706,54.15
2020-12-09,40.726,-4995.62,42.017,4995.62,0.0,118.896,1711.182,14.31,-4999.54,2.87,4999.54,0.0,1741.84,41.073,15.811,-4998.737,4.378,4998.737,0.0,1141.712,69.226,0.085,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.89,-4998.0,6.803,4998.0,0.0,734.706,53.673
2020-12-10,41.669,-4995.62,42.017,4995.62,0.0,118.896,1750.779,14.04,-4999.54,2.87,4999.54,0.0,1741.84,40.299,16.096,-4998.737,4.378,4998.737,0.0,1141.712,70.471,0.065,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.88,-4998.0,6.803,4998.0,0.0,734.706,53.605
2020-12-11,41.361,-4995.62,42.017,4995.62,0.0,118.896,1737.849,14.47,-4999.54,2.87,4999.54,0.0,1741.84,41.533,16.182,-4998.737,4.378,4998.737,0.0,1141.712,70.848,0.06,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.0,-4998.0,6.803,4998.0,0.0,734.706,54.422
2020-12-14,40.832,-4995.62,42.017,4995.62,0.0,118.896,1715.626,14.15,-4999.54,2.87,4999.54,0.0,1741.84,40.614,16.311,-4998.737,4.378,4998.737,0.0,1141.712,71.414,0.056,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.99,-4998.0,6.803,4998.0,0.0,734.706,47.551
2020-12-15,41.245,-4995.62,42.017,4995.62,0.0,118.896,1733.001,13.99,-4999.54,2.87,4999.54,0.0,1741.84,40.155,16.07,-4998.737,4.378,4998.737,0.0,1141.712,70.358,0.08,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.97,-4998.0,6.803,4998.0,0.0,734.706,47.415
2020-12-16,40.976,-4995.62,42.017,4995.62,0.0,118.896,1721.687,13.49,-4999.54,2.87,4999.54,0.0,1741.84,38.72,15.803,-4998.737,4.378,4998.737,0.0,1141.712,69.188,0.094,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.9,-4998.0,6.803,4998.0,0.0,734.706,46.939
2020-12-17,40.274,-4995.62,42.017,4995.62,0.0,118.896,1692.191,13.37,-4999.54,2.87,4999.54,0.0,1741.84,38.375,15.475,-4998.737,4.378,4998.737,0.0,1141.712,67.755,0.075,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.9,-4998.0,6.803,4998.0,0.0,734.706,46.939
2020-12-18,39.322,-4995.62,42.017,4995.62,0.0,118.896,1652.189,13.08,-4999.54,2.87,4999.54,0.0,1741.84,37.543,14.674,-4998.737,4.378,4998.737,0.0,1141.712,64.246,0.068,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.9,-4998.0,6.803,4998.0,0.0,734.706,46.939
2020-12-21,39.178,-4995.62,42.017,4995.62,0.0,118.896,1646.129,13.53,-4999.54,2.87,4999.54,0.0,1741.84,38.835,14.588,-4998.737,4.378,4998.737,0.0,1141.712,63.869,0.06,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.9,-4998.0,6.803,4998.0,0.0,734.706,46.939
2020-12-22,38.303,-4995.62,42.017,4995.62,0.0,118.896,1609.359,14.35,-4999.54,2.87,4999.54,0.0,1741.84,41.188,14.407,-4998.737,4.378,4998.737,0.0,1141.712,63.077,0.06,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.0,-4998.0,6.803,4998.0,0.0,734.706,47.619
2020-12-23,38.418,-4995.62,42.017,4995.62,0.0,118.896,1614.208,13.41,-4999.54,2.87,4999.54,0.0,1741.84,38.49,14.157,-4998.737,4.378,4998.737,0.0,1141.712,61.983,0.079,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.08,-4998.0,6.803,4998.0,0.0,734.706,48.163
2020-12-24,39.312,-4995.62,42.017,4995.62,0.0,118.896,1651.785,12.81,-4999.54,2.87,4999.54,0.0,1741.84,36.768,14.381,-4998.737,4.378,4998.737,0.0,1141.712,62.964,0.07,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.49,-4998.0,6.803,4998.0,0.0,734.706,50.952
2020-12-28,39.399,-4995.62,42.017,4995.62,0.0,118.896,1655.422,12.74,-4999.54,2.87,4999.54,0.0,1741.84,36.567,14.39,-4998.737,4.378,4998.737,0.0,1141.712,63.001,0.071,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.49,-4998.0,6.803,4998.0,0.0,734.706,50.952
2020-12-29,39.5,-4995.62,42.017,4995.62,0.0,118.896,1659.664,12.15,-4999.54,2.87,4999.54,0.0,1741.84,34.874,13.605,-4998.737,4.378,4998.737,0.0,1141.712,59.568,0.071,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.49,-4998.0,6.803,4998.0,0.0,734.706,50.952
