date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-12-23,22.776,-4996.939,312.5,4996.939,0.0,15.99,7117.649,3.7,-4999.02,2500.0,4999.02,0.0,2.0,9250.0,17.164,-4998.737,1250.0,4998.737,0.0,3.999,21455.064,14.63,-4997.3,625.0,4997.3,0.0,7.996,9143.75,12.84,-4998.0,833.333,4998.0,0.0,5.998,10700.0
2019-12-24,22.651,-4996.939,312.5,4996.939,0.0,15.99,7078.325,3.73,-4999.02,2500.0,4999.02,0.0,2.0,9325.0,17.19,-4998.737,1250.0,4998.737,0.0,3.999,21487.377,14.71,-4997.3,625.0,4997.3,0.0,7.996,9193.75,12.95,-4998.0,833.333,4998.0,0.0,5.998,10791.667
2019-12-26,22.767,-4996.939,312.5,4996.939,0.0,15.99,7114.71,3.72,-4999.02,2500.0,4999.02,0.0,2.0,9300.0,16.621,-4998.737,1250.0,4998.737,0.0,3.999,20776.517,14.84,-4997.3,625.0,4997.3,0.0,7.996,9275.0,13.15,-4998.0,833.333,4998.0,0.0,5.998,10958.333
2019-12-27,22.958,-4996.939,312.5,4996.939,0.0,15.99,7174.401,3.78,-4999.02,2500.0,4999.02,0.0,2.0,9450.0,16.552,-4998.737,1250.0,4998.737,0.0,3.999,20690.351,14.87,-4997.3,625.0,4997.3,0.0,7.996,9293.75,13.29,-4998.0,833.333,4998.0,0.0,5.998,11075.0
2019-12-30,22.994,-4996.939,312.5,4996.939,0.0,15.99,7185.77,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,16.716,-4998.737,1250.0,4998.737,0.0,3.999,20894.992,14.62,-4997.3,625.0,4997.3,0.0,7.996,9137.5,13.35,-4998.0,833.333,4998.0,0.0,5.998,11125.0
2019-12-31,23.24,-4996.939,312.5,4996.939,0.0,15.99,7262.517,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,16.083,-4998.737,1250.0,4998.737,0.0,3.999,20103.352,14.54,-4997.3,625.0,4997.3,0.0,7.996,9087.5,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
2020-01-02,22.994,-4996.939,312.5,4996.939,0.0,15.99,7185.77,3.67,-4999.02,2500.0,4999.02,0.0,2.0,9175.0,16.561,-4998.737,1250.0,4998.737,0.0,3.999,20701.12,14.69,-4997.3,625.0,4997.3,0.0,7.996,9181.25,13.43,-4998.0,833.333,4998.0,0.0,5.998,11191.667
2020-01-03,23.013,-4996.939,312.5,4996.939,0.0,15.99,7191.455,3.7,-4999.02,2500.0,4999.02,0.0,2.0,9250.0,16.165,-4998.737,1250.0,4998.737,0.0,3.999,20205.672,14.61,-4997.3,625.0,4997.3,0.0,7.996,9131.25,14.0,-4998.0,833.333,4998.0,0.0,5.998,11666.667
2020-01-06,22.776,-4996.939,312.5,4996.939,0.0,15.99,7117.551,3.96,-4999.02,2500.0,4999.02,0.0,2.0,9900.0,16.001,-4998.737,1250.0,4998.737,0.0,3.999,20001.03,14.49,-4997.3,625.0,4997.3,0.0,7.996,9056.25,13.65,-4998.0,833.333,4998.0,0.0,5.998,11375.0
2020-01-07,22.685,-4996.939,312.5,4996.939,0.0,15.99,7089.127,4.28,-4999.02,2500.0,4999.02,0.0,2.0,10700.001,15.768,-4998.737,1250.0,4998.737,0.0,3.999,19710.224,14.45,-4997.3,625.0,4997.3,0.0,7.996,9031.25,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
