date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue
2020-01-08,218.0,-4933.95,37.0,4933.95,2776.11,133.35,8066.0
2020-01-09,221.78,-4933.95,37.0,4933.95,2776.11,133.35,8205.86
2020-01-10,223.83,-4933.95,37.0,4933.95,2776.11,133.35,8281.71
2020-01-13,230.48,-4933.95,37.0,4933.95,2776.11,133.35,8527.76
2020-01-14,226.49,-4933.95,37.0,4933.95,2776.11,133.35,8380.13
2020-01-15,225.06,-4933.95,37.0,4933.95,2776.11,133.35,8327.22
2020-01-16,223.94,-4933.95,37.0,4933.95,2776.11,133.35,8285.78
2020-01-17,227.43,-4933.95,37.0,4933.95,2776.11,133.35,8414.91
2020-01-21,222.26,-4933.95,37.0,4933.95,2776.11,133.35,8223.62
2020-01-22,222.37,-4933.95,37.0,4933.95,2776.11,133.35,8227.69
2020-01-23,219.13,-4933.95,37.0,4933.95,2776.11,133.35,8107.81
2020-01-24,213.75,-4933.95,37.0,4933.95,2776.11,133.35,7908.75
2020-01-27,205.47,-4933.95,37.0,4933.95,2776.11,133.35,7602.39
2020-01-28,210.23,-4933.95,37.0,4933.95,2776.11,133.35,7778.51
2020-01-29,212.02,-4933.95,37.0,4933.95,2776.11,133.35,7844.74
2020-01-30,208.58,-4933.95,37.0,4933.95,2776.11,133.35,7717.46
2020-01-31,206.59,-4933.95,37.0,4933.95,2776.11,133.35,7643.83
2020-02-03,213.1,-4933.95,37.0,4933.95,2776.11,133.35,7884.7
2020-02-04,222.88,-4933.95,37.0,4933.95,2776.11,133.35,8246.56
2020-02-05,220.22,-4933.95,37.0,4933.95,2776.11,133.35,8148.14
2020-02-06,220.9,-4933.95,37.0,4933.95,2776.11,133.35,8173.3
2020-02-07,216.53,-4933.95,37.0,4933.95,2776.11,133.35,8011.61
2020-02-10,215.77,-4933.95,37.0,4933.95,2776.11,133.35,7983.49
2020-02-11,217.21,-4933.95,37.0,4933.95,2776.11,133.35,8036.77
2020-02-12,224.31,-4933.95,37.0,4933.95,2776.11,133.35,8299.47
2020-02-13,220.36,-4933.95,37.0,4933.95,2776.11,133.35,8153.32
2020-02-14,219.63,-4933.95,37.0,4933.95,2776.11,133.35,8126.31
2020-02-18,220.52,-4933.95,37.0,4933.95,2776.11,133.35,8159.24
2020-02-19,222.14,-4933.95,37.0,4933.95,2776.11,133.35,8219.18
2020-02-20,218.04,-4933.95,37.0,4933.95,2776.11,133.35,8067.48
2020-02-21,212.59,-4933.95,37.0,4933.95,2776.11,133.35,7865.83
2020-02-24,206.16,-4933.95,37.0,4933.95,2776.11,133.35,7627.92
2020-02-25,205.61,-4933.95,37.0,4933.95,2776.11,133.35,7607.57
2020-02-26,208.74,-4933.95,37.0,4933.95,2776.11,133.35,7723.38
2020-02-27,205.03,-4933.95,37.0,4933.95,2776.11,133.35,7586.11
2020-02-28,208.0,-4933.95,37.0,4933.95,2776.11,133.35,7696.0
2020-03-02,210.98,-4933.95,37.0,4933.95,2776.11,133.35,7806.26
2020-03-03,207.41,-4933.95,37.0,4933.95,2776.11,133.35,7674.17
2020-03-04,211.96,-4933.95,37.0,4933.95,2776.11,133.35,7842.52
2020-03-05,211.46,-4933.95,37.0,4933.95,2776.11,133.35,7824.02
2020-03-06,204.64,-4933.95,37.0,4933.95,2776.11,133.35,7571.68
2020-03-09,197.66,-4933.95,37.0,4933.95,2776.11,133.35,7313.42
2020-03-10,206.39,-4933.95,37.0,4933.95,2776.11,133.35,7636.43
2020-03-11,198.91,-4933.95,37.0,4933.95,2776.11,133.35,7359.67
2020-03-12,185.1,-4933.95,37.0,4933.95,2776.11,133.35,6848.7
2020-03-13,194.0,-4933.95,37.0,4933.95,2776.11,133.35,7178.0
2020-03-16,178.85,-4933.95,37.0,4933.95,2776.11,133.35,6617.45
2020-03-17,184.81,-4933.95,37.0,4933.95,2776.11,133.35,6837.97
2020-03-18,180.0,-4933.95,37.0,4933.95,2776.11,133.35,6660.0
2020-03-19,180.88,-4933.95,37.0,4933.95,2776.11,133.35,6692.56
2020-03-20,181.3,-4933.95,37.0,4933.95,2776.11,133.35,6708.1
2020-03-23,176.34,-4933.95,37.0,4933.95,2776.11,133.35,6524.58
2020-03-24,185.75,-4933.95,37.0,4933.95,2776.11,133.35,6872.75
2020-03-25,188.56,-4933.95,37.0,4933.95,2776.11,133.35,6976.72
2020-03-26,195.32,-4933.95,37.0,4933.95,2776.11,133.35,7226.84
2020-03-27,188.59,-4933.95,37.0,4933.95,2776.11,133.35,6977.83
2020-03-30,191.27,-4933.95,37.0,4933.95,2776.11,133.35,7076.99
2020-03-31,194.48,-4933.95,37.0,4933.95,2776.11,133.35,7195.76
2020-04-01,187.56,-4933.95,37.0,4933.95,2776.11,133.35,6939.72
2020-04-02,188.9,-4933.95,37.0,4933.95,2776.11,133.35,6989.3
2020-04-03,187.11,-4933.95,37.0,4933.95,2776.11,133.35,6923.07
2020-04-06,196.45,-4933.95,37.0,4933.95,2776.11,133.35,7268.65
2020-04-07,198.0,-4933.95,37.0,4933.95,2776.11,133.35,7326.0
2020-04-08,195.98,-4933.95,37.0,4933.95,2776.11,133.35,7251.26
2020-04-09,196.37,-4933.95,37.0,4933.95,2776.11,133.35,7265.69
2020-04-13,199.44,-4933.95,37.0,4933.95,2776.11,133.35,7379.28
2020-04-14,204.78,-4933.95,37.0,4933.95,2776.11,133.35,7576.86
2020-04-15,208.17,-4933.95,37.0,4933.95,2776.11,133.35,7702.29
2020-04-16,212.66,-4933.95,37.0,4933.95,2776.11,133.35,7868.42
2020-04-17,209.5,-4933.95,37.0,4933.95,2776.11,133.35,7751.5
2020-04-20,212.13,-4933.95,37.0,4933.95,2776.11,133.35,7848.81
2020-04-21,207.34,-4933.95,37.0,4933.95,2776.11,133.35,7671.58
2020-04-22,209.96,-4933.95,37.0,4933.95,2776.11,133.35,7768.52
2020-04-23,205.24,-4933.95,37.0,4933.95,2776.11,133.35,7593.88
2020-04-24,204.36,-4933.95,37.0,4933.95,2776.11,133.35,7561.32
