date,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-12-16,16.785,-4998.737,1250.0,4998.737,0.0,3.999,20981.157
2019-12-17,17.138,-4998.737,1250.0,4998.737,0.0,3.999,21422.751
2019-12-18,16.906,-4998.737,1250.0,4998.737,0.0,3.999,21131.947
2019-12-19,16.776,-4998.737,1250.0,4998.737,0.0,3.999,20970.385
2019-12-20,17.121,-4998.737,1250.0,4998.737,0.0,3.999,21401.212
2019-12-23,17.164,-4998.737,1250.0,4998.737,0.0,3.999,21455.064
2019-12-24,17.19,-4998.737,1250.0,4998.737,0.0,3.999,21487.377
2019-12-26,16.621,-4998.737,1250.0,4998.737,0.0,3.999,20776.517
2019-12-27,16.552,-4998.737,1250.0,4998.737,0.0,3.999,20690.351
2019-12-30,16.716,-4998.737,1250.0,4998.737,0.0,3.999,20894.992
2019-12-31,16.083,-4998.737,1250.0,4998.737,0.0,3.999,20103.352
2020-01-02,16.561,-4998.737,1250.0,4998.737,0.0,3.999,20701.12
2020-01-03,16.165,-4998.737,1250.0,4998.737,0.0,3.999,20205.672
2020-01-06,16.001,-4998.737,1250.0,4998.737,0.0,3.999,20001.03
2020-01-07,15.768,-4998.737,1250.0,4998.737,0.0,3.999,19710.224
2020-01-08,15.57,-4998.737,1250.0,4998.737,0.0,3.999,19462.5
2020-01-09,15.742,-4998.737,1250.0,4998.737,0.0,3.999,19677.913
2020-01-10,15.699,-4998.737,1250.0,4998.737,0.0,3.999,19624.059
2020-01-13,16.044,-4998.737,1250.0,4998.737,0.0,3.999,20054.884
2020-01-14,20.964,-4998.737,1250.0,4998.737,0.0,3.999,26204.906
2020-01-15,21.49,-4998.737,1250.0,4998.737,0.0,3.999,26861.913
2020-01-16,21.451,-4998.737,1250.0,4998.737,0.0,3.999,26813.445
2020-01-17,20.938,-4998.737,1250.0,4998.737,0.0,3.999,26172.593
2020-01-21,19.827,-4998.737,1250.0,4998.737,0.0,3.999,24783.185
2020-01-22,19.456,-4998.737,1250.0,4998.737,0.0,3.999,24320.047
2020-01-23,19.637,-4998.737,1250.0,4998.737,0.0,3.999,24546.232
2020-01-24,19.99,-4998.737,1250.0,4998.737,0.0,3.999,24987.826
2020-01-27,20.059,-4998.737,1250.0,4998.737,0.0,3.999,25073.991
2020-01-28,19.87,-4998.737,1250.0,4998.737,0.0,3.999,24837.036
2020-01-29,19.594,-4998.737,1250.0,4998.737,0.0,3.999,24492.376
2020-01-30,19.491,-4998.737,1250.0,4998.737,0.0,3.999,24363.132
2020-01-31,19.31,-4998.737,1250.0,4998.737,0.0,3.999,24136.946
2020-02-03,18.732,-4998.737,1250.0,4998.737,0.0,3.999,23415.315
2020-02-04,18.767,-4998.737,1250.0,4998.737,0.0,3.999,23458.4
2020-02-05,18.706,-4998.737,1250.0,4998.737,0.0,3.999,23383.002
2020-02-06,18.749,-4998.737,1250.0,4998.737,0.0,3.999,23436.856
2020-02-07,19.051,-4998.737,1250.0,4998.737,0.0,3.999,23813.829
2020-02-10,18.87,-4998.737,1250.0,4998.737,0.0,3.999,23587.644
2020-02-11,18.749,-4998.737,1250.0,4998.737,0.0,3.999,23436.856
2020-02-12,18.784,-4998.737,1250.0,4998.737,0.0,3.999,23479.939
2020-02-13,14.243,-4998.737,1250.0,4998.737,0.0,3.999,17803.826
2020-02-14,12.976,-4998.737,1250.0,4998.737,0.0,3.999,16220.546
2020-02-18,12.856,-4998.737,1250.0,4998.737,0.0,3.999,16069.757
2020-02-19,12.537,-4998.737,1250.0,4998.737,0.0,3.999,15671.244
2020-02-20,12.322,-4998.737,1250.0,4998.737,0.0,3.999,15401.978
2020-02-21,12.123,-4998.737,1250.0,4998.737,0.0,3.999,15154.254
2020-02-24,11.176,-4998.737,1250.0,4998.737,0.0,3.999,13969.487
2020-02-25,11.21,-4998.737,1250.0,4998.737,0.0,3.999,14012.569
2020-02-26,10.969,-4998.737,1250.0,4998.737,0.0,3.999,13710.991
2020-02-27,10.736,-4998.737,1250.0,4998.737,0.0,3.999,13420.186
2020-02-28,10.564,-4998.737,1250.0,4998.737,0.0,3.999,13204.774
2020-03-02,10.581,-4998.737,1250.0,4998.737,0.0,3.999,13226.315
2020-03-03,10.202,-4998.737,1250.0,4998.737,0.0,3.999,12752.408
2020-03-04,10.245,-4998.737,1250.0,4998.737,0.0,3.999,12806.261
2020-03-05,9.9,-4998.737,1250.0,4998.737,0.0,3.999,12375.436
2020-03-06,9.59,-4998.737,1250.0,4998.737,0.0,3.999,11987.695
2020-03-09,9.065,-4998.737,1250.0,4998.737,0.0,3.999,11330.687
2020-03-10,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676
2020-03-11,9.237,-4998.737,1250.0,4998.737,0.0,3.999,11546.099
2020-03-12,8.522,-4998.737,1250.0,4998.737,0.0,3.999,10652.138
2020-03-13,8.823,-4998.737,1250.0,4998.737,0.0,3.999,11029.109
2020-03-16,7.66,-4998.737,1250.0,4998.737,0.0,3.999,9575.077
2020-03-17,8.72,-4998.737,1250.0,4998.737,0.0,3.999,10899.862
2020-03-18,8.504,-4998.737,1250.0,4998.737,0.0,3.999,10630.597
2020-03-19,8.909,-4998.737,1250.0,4998.737,0.0,3.999,11136.816
2020-03-20,8.134,-4998.737,1250.0,4998.737,0.0,3.999,10167.459
2020-03-23,8.367,-4998.737,1250.0,4998.737,0.0,3.999,10458.267
2020-03-24,8.573,-4998.737,1250.0,4998.737,0.0,3.999,10716.761
2020-03-25,8.694,-4998.737,1250.0,4998.737,0.0,3.999,10867.55
2020-03-26,8.16,-4998.737,1250.0,4998.737,0.0,3.999,10199.772
2020-03-27,8.453,-4998.737,1250.0,4998.737,0.0,3.999,10565.974
2020-03-30,8.832,-4998.737,1250.0,4998.737,0.0,3.999,11039.879
2020-03-31,9.151,-4998.737,1250.0,4998.737,0.0,3.999,11438.392
2020-04-01,8.953,-4998.737,1250.0,4998.737,0.0,3.999,11190.668
2020-04-02,9.426,-4998.737,1250.0,4998.737,0.0,3.999,11783.051
2020-04-03,9.9,-4998.737,1250.0,4998.737,0.0,3.999,12375.436
2020-04-06,11.107,-4998.737,1250.0,4998.737,0.0,3.999,13883.322
2020-04-07,10.538,-4998.737,1250.0,4998.737,0.0,3.999,13172.461
2020-04-08,10.977,-4998.737,1250.0,4998.737,0.0,3.999,13721.763
2020-04-09,11.477,-4998.737,1250.0,4998.737,0.0,3.999,14346.458
2020-04-13,11.598,-4998.737,1250.0,4998.737,0.0,3.999,14497.247
2020-04-14,12.158,-4998.737,1250.0,4998.737,0.0,3.999,15197.337
2020-04-15,11.667,-4998.737,1250.0,4998.737,0.0,3.999,14583.412
2020-04-16,11.598,-4998.737,1250.0,4998.737,0.0,3.999,14497.247
2020-04-17,11.779,-4998.737,1250.0,4998.737,0.0,3.999,14723.43
2020-04-20,11.219,-4998.737,1250.0,4998.737,0.0,3.999,14023.341
2020-04-21,11.494,-4998.737,1250.0,4998.737,0.0,3.999,14368.0
2020-04-22,11.425,-4998.737,1250.0,4998.737,0.0,3.999,14281.836
2020-04-23,11.701,-4998.737,1250.0,4998.737,0.0,3.999,14626.495
2020-04-24,11.805,-4998.737,1250.0,4998.737,0.0,3.999,14755.741
2020-04-27,12.873,-4998.737,1250.0,4998.737,0.0,3.999,16091.298
2020-04-28,12.175,-4998.737,1250.0,4998.737,0.0,3.999,15218.878
2020-04-29,13.132,-4998.737,1250.0,4998.737,0.0,3.999,16414.416
2020-04-30,13.631,-4998.737,1250.0,4998.737,0.0,3.999,17039.112
2020-05-01,13.493,-4998.737,1250.0,4998.737,0.0,3.999,16866.782
2020-05-04,13.209,-4998.737,1250.0,4998.737,0.0,3.999,16511.352
2020-05-05,12.925,-4998.737,1250.0,4998.737,0.0,3.999,16155.921
2020-05-06,12.744,-4998.737,1250.0,4998.737,0.0,3.999,15929.738
2020-05-07,12.666,-4998.737,1250.0,4998.737,0.0,3.999,15832.803
2020-05-08,13.588,-4998.737,1250.0,4998.737,0.0,3.999,16985.259
