date,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue
2020-02-10,135.122,-4920.96,24.0,4920.96,867.84,205.04,3242.939
2020-02-11,134.743,-4920.96,24.0,4920.96,867.84,205.04,3233.826
2020-02-12,135.303,-4920.96,24.0,4920.96,867.84,205.04,3247.268
2020-02-13,136.831,-4920.96,24.0,4920.96,867.84,205.04,3283.949
2020-02-14,138.132,-4920.96,24.0,4920.96,867.84,205.04,3315.161
2020-02-18,138.701,-4920.96,24.0,4920.96,867.84,205.04,3328.831
2020-02-19,137.676,-4920.96,24.0,4920.96,867.84,205.04,3304.226
2020-02-20,140.211,-4920.96,24.0,4920.96,867.84,205.04,3365.056
2020-02-21,140.277,-4920.96,24.0,4920.96,867.84,205.04,3366.651
2020-02-24,138.511,-4920.96,24.0,4920.96,867.84,205.04,3324.275
2020-02-25,135.815,-4920.96,24.0,4920.96,867.84,205.04,3259.571
2020-02-26,135.103,-4920.96,24.0,4920.96,867.84,205.04,3242.484
2020-02-27,127.395,-4920.96,24.0,4920.96,867.84,205.04,3057.485
2020-02-28,122.706,-4920.96,24.0,4920.96,867.84,205.04,2944.937
2020-03-02,128.534,-4920.96,24.0,4920.96,867.84,205.04,3084.825
2020-03-03,130.31,-4920.96,24.0,4920.96,867.84,205.04,3127.43
2020-03-04,137.648,-4920.96,24.0,4920.96,867.84,205.04,3303.542
2020-03-05,137.429,-4920.96,24.0,4920.96,867.84,205.04,3298.303
2020-03-06,136.034,-4920.96,24.0,4920.96,867.84,205.04,3264.811
2020-03-09,127.49,-4920.96,24.0,4920.96,867.84,205.04,3059.764
2020-03-10,132.968,-4920.96,24.0,4920.96,867.84,205.04,3191.222
2020-03-11,127.091,-4920.96,24.0,4920.96,867.84,205.04,3050.195
2020-03-12,111.646,-4920.96,24.0,4920.96,867.84,205.04,2679.514
2020-03-13,119.611,-4920.96,24.0,4920.96,867.84,205.04,2870.664
2020-03-16,99.628,-4920.96,24.0,4920.96,867.84,205.04,2391.081
2020-03-17,107.432,-4920.96,24.0,4920.96,867.84,205.04,2578.358
2020-03-18,95.024,-4920.96,24.0,4920.96,867.84,205.04,2280.583
2020-03-19,94.426,-4920.96,24.0,4920.96,867.84,205.04,2266.23
2020-03-20,83.063,-4920.96,24.0,4920.96,867.84,205.04,1993.517
2020-03-23,80.377,-4920.96,24.0,4920.96,867.84,205.04,1929.041
2020-03-24,84.658,-4920.96,24.0,4920.96,867.84,205.04,2031.792
2020-03-25,92.879,-4920.96,24.0,4920.96,867.84,205.04,2229.093
2020-03-26,97.578,-4920.96,24.0,4920.96,867.84,205.04,2341.87
2020-03-27,102.144,-4920.96,24.0,4920.96,867.84,205.04,2451.456
2020-03-30,101.698,-4920.96,24.0,4920.96,867.84,205.04,2440.748
2020-03-31,97.806,-4920.96,24.0,4920.96,867.84,205.04,2347.337
2020-04-01,93.733,-4920.96,24.0,4920.96,867.84,205.04,2249.598
2020-04-02,89.471,-4920.96,24.0,4920.96,867.84,205.04,2147.302
2020-04-03,89.528,-4920.96,24.0,4920.96,867.84,205.04,2148.669
2020-04-06,99.942,-4920.96,24.0,4920.96,867.84,205.04,2398.599
2020-04-07,98.527,-4920.96,24.0,4920.96,867.84,205.04,2364.653
2020-04-08,105.305,-4920.96,24.0,4920.96,867.84,205.04,2527.324
2020-04-09,110.735,-4920.96,24.0,4920.96,867.84,205.04,2657.643
2020-04-13,105.723,-4920.96,24.0,4920.96,867.84,205.04,2537.348
2020-04-14,109.219,-4920.96,24.0,4920.96,867.84,205.04,2621.26
2020-04-15,105.349,-4920.96,24.0,4920.96,867.84,205.04,2528.382
2020-04-16,103.75,-4920.96,24.0,4920.96,867.84,205.04,2489.99
2020-04-17,108.721,-4920.96,24.0,4920.96,867.84,205.04,2609.305
2020-04-20,103.922,-4920.96,24.0,4920.96,867.84,205.04,2494.128
2020-04-21,103.012,-4920.96,24.0,4920.96,867.84,205.04,2472.288
2020-04-22,103.75,-4920.96,24.0,4920.96,867.84,205.04,2489.99
2020-04-23,100.56,-4920.96,24.0,4920.96,867.84,205.04,2413.435
2020-04-24,101.949,-4920.96,24.0,4920.96,867.84,205.04,2446.77
2020-04-27,106.02,-4920.96,24.0,4920.96,867.84,205.04,2544.475
2020-04-28,107.428,-4920.96,24.0,4920.96,867.84,205.04,2578.27
2020-04-29,107.936,-4920.96,24.0,4920.96,867.84,205.04,2590.454
2020-04-30,107.208,-4920.96,24.0,4920.96,867.84,205.04,2572.982
2020-05-01,105.014,-4920.96,24.0,4920.96,867.84,205.04,2520.336
2020-05-04,105.656,-4920.96,24.0,4920.96,867.84,205.04,2535.739
2020-05-05,107.677,-4920.96,24.0,4920.96,867.84,205.04,2584.247
2020-05-06,105.378,-4920.96,24.0,4920.96,867.84,205.04,2529.072
2020-05-07,108.961,-4920.96,24.0,4920.96,867.84,205.04,2615.053
2020-05-08,110.704,-4920.96,24.0,4920.96,867.84,205.04,2656.893
2020-05-11,108.252,-4920.96,24.0,4920.96,867.84,205.04,2598.04
2020-05-12,104.161,-4920.96,24.0,4920.96,867.84,205.04,2499.876
2020-05-13,103.539,-4920.96,24.0,4920.96,867.84,205.04,2484.932
2020-05-14,101.077,-4920.96,24.0,4920.96,867.84,205.04,2425.849
2020-05-15,102.37,-4920.96,24.0,4920.96,867.84,205.04,2456.885
2020-05-18,109.545,-4920.96,24.0,4920.96,867.84,205.04,2629.076
2020-05-19,106.441,-4920.96,24.0,4920.96,867.84,205.04,2554.59
2020-05-20,106.796,-4920.96,24.0,4920.96,867.84,205.04,2563.096
2020-05-21,109.028,-4920.96,24.0,4920.96,867.84,205.04,2616.662
