date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-08-07,76.58,-4989.16,192.308,4989.16,0.0,25.944,14726.923,22.96,-4996.558,263.158,4996.558,0.0,18.987,6042.091,2.62,-4999.02,2500.0,4999.02,0.0,2.0,6550.0,4.197,-4997.448,1000.0,4997.448,0.0,4.997,4196.541,12.19,-4999.54,2500.0,4999.54,0.0,2.0,30474.999,12.959,-4998.737,1250.0,4998.737,0.0,3.999,16199.005,13.18,-4998.0,833.333,4998.0,0.0,5.998,10983.334
2020-08-10,74.0,-4989.16,192.308,4989.16,0.0,25.944,14230.769,22.96,-4996.558,263.158,4996.558,0.0,18.987,6042.091,2.58,-4999.02,2500.0,4999.02,0.0,2.0,6450.0,4.244,-4997.448,1000.0,4997.448,0.0,4.997,4243.908,12.03,-4999.54,2500.0,4999.54,0.0,2.0,30074.999,13.468,-4998.737,1250.0,4998.737,0.0,3.999,16834.47,13.3,-4998.0,833.333,4998.0,0.0,5.998,11083.333
2020-08-11,74.89,-4989.16,192.308,4989.16,0.0,25.944,14401.923,22.668,-4996.558,263.158,4996.558,0.0,18.987,5965.226,2.51,-4999.02,2500.0,4999.02,0.0,2.0,6275.0,4.358,-4997.448,1000.0,4997.448,0.0,4.997,4357.583,11.69,-4999.54,2500.0,4999.54,0.0,2.0,29224.999,13.847,-4998.737,1250.0,4998.737,0.0,3.999,17308.377,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
2020-08-12,75.57,-4989.16,192.308,4989.16,0.0,25.944,14532.692,23.013,-4996.558,263.158,4996.558,0.0,18.987,6056.067,2.52,-4999.02,2500.0,4999.02,0.0,2.0,6300.0,4.282,-4997.448,1000.0,4997.448,0.0,4.997,4281.798,12.44,-4999.54,2500.0,4999.54,0.0,2.0,31099.999,14.166,-4998.737,1250.0,4998.737,0.0,3.999,17706.891,13.5,-4998.0,833.333,4998.0,0.0,5.998,11250.0
2020-08-13,77.11,-4989.16,192.308,4989.16,0.0,25.944,14828.846,22.73,-4996.558,263.158,4996.558,0.0,18.987,5981.531,2.55,-4999.02,2500.0,4999.02,0.0,2.0,6375.0,4.358,-4997.448,1000.0,4997.448,0.0,4.997,4357.583,13.05,-4999.54,2500.0,4999.54,0.0,2.0,32625.0,14.657,-4998.737,1250.0,4998.737,0.0,3.999,18320.816,12.5,-4998.0,833.333,4998.0,0.0,5.998,10416.667
2020-08-14,73.58,-4989.16,192.308,4989.16,0.0,25.944,14150.0,23.075,-4996.558,263.158,4996.558,0.0,18.987,6072.372,2.59,-4999.02,2500.0,4999.02,0.0,2.0,6475.0,4.291,-4997.448,1000.0,4997.448,0.0,4.997,4291.272,12.71,-4999.54,2500.0,4999.54,0.0,2.0,31775.0,14.82,-4998.737,1250.0,4998.737,0.0,3.999,18525.457,13.55,-4998.0,833.333,4998.0,0.0,5.998,11291.667
2020-08-17,76.6,-4989.16,192.308,4989.16,0.0,25.944,14730.769,23.907,-4996.558,263.158,4996.558,0.0,18.987,6291.322,2.52,-4999.02,2500.0,4999.02,0.0,2.0,6300.0,4.206,-4997.448,1000.0,4997.448,0.0,4.997,4206.015,12.53,-4999.54,2500.0,4999.54,0.0,2.0,31324.999,16.63,-4998.737,1250.0,4998.737,0.0,3.999,20787.284,13.6,-4998.0,833.333,4998.0,0.0,5.998,11333.334
2020-08-18,77.62,-4989.16,192.308,4989.16,0.0,25.944,14926.924,24.164,-4996.558,263.158,4996.558,0.0,18.987,6358.87,2.47,-4999.02,2500.0,4999.02,0.0,2.0,6175.0,4.253,-4997.448,1000.0,4997.448,0.0,4.997,4253.379,12.29,-4999.54,2500.0,4999.54,0.0,2.0,30725.0,15.441,-4998.737,1250.0,4998.737,0.0,3.999,19300.941,13.6,-4998.0,833.333,4998.0,0.0,5.998,11333.334
2020-08-19,74.09,-4989.16,192.308,4989.16,0.0,25.944,14248.076,24.093,-4996.558,263.158,4996.558,0.0,18.987,6340.236,2.44,-4999.02,2500.0,4999.02,0.0,2.0,6100.0,4.377,-4997.448,1000.0,4997.448,0.0,4.997,4376.528,12.45,-4999.54,2500.0,4999.54,0.0,2.0,31125.0,15.518,-4998.737,1250.0,4998.737,0.0,3.999,19397.877,13.7,-4998.0,833.333,4998.0,0.0,5.998,11416.667
2020-08-20,72.98,-4989.16,192.308,4989.16,0.0,25.944,14034.616,24.093,-4996.558,263.158,4996.558,0.0,18.987,6340.236,2.48,-4999.02,2500.0,4999.02,0.0,2.0,6200.0,4.377,-4997.448,1000.0,4997.448,0.0,4.997,4376.528,12.5,-4999.54,2500.0,4999.54,0.0,2.0,31250.0,15.32,-4998.737,1250.0,4998.737,0.0,3.999,19150.153,12.1,-4998.0,833.333,4998.0,0.0,5.998,10083.334
