date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-08-14,31.77,-4997.58,978.0,4997.58,21046.56,5.11,31071.06
2019-08-15,31.84,-4997.58,978.0,4997.58,21046.56,5.11,31139.52
2019-08-16,32.88,-4997.58,978.0,4997.58,21046.56,5.11,32156.641
2019-08-19,33.48,-4997.58,978.0,4997.58,21046.56,5.11,32743.44
2019-08-20,33.52,-4997.58,978.0,4997.58,21046.56,5.11,32782.56
2019-08-21,34.21,-4997.58,978.0,4997.58,21046.56,5.11,33457.379
2019-08-22,34.23,-4997.58,978.0,4997.58,21046.56,5.11,33476.94
2019-08-23,33.95,-4997.58,978.0,4997.58,21046.56,5.11,33203.101
2019-08-26,34.05,-4997.58,978.0,4997.58,21046.56,5.11,33300.899
2019-08-27,35.09,-4997.58,978.0,4997.58,21046.56,5.11,34318.02
2019-08-28,35.5,-4997.58,978.0,4997.58,21046.56,5.11,34719.0
2019-08-29,35.83,-4997.58,978.0,4997.58,21046.56,5.11,35041.742
2019-08-30,35.63,-4997.58,978.0,4997.58,21046.56,5.11,34846.141
2019-09-03,34.81,-4997.58,978.0,4997.58,21046.56,5.11,34044.181
2019-09-04,34.53,-4997.58,978.0,4997.58,21046.56,5.11,33770.339
2019-09-05,35.7,-4997.58,978.0,4997.58,21046.56,5.11,34914.601
2019-09-06,35.6,-4997.58,978.0,4997.58,21046.56,5.11,34816.799
2019-09-09,35.56,-4997.58,978.0,4997.58,21046.56,5.11,34777.681
2019-09-10,33.91,-4997.58,978.0,4997.58,21046.56,5.11,33163.98
2019-09-11,34.37,-4997.58,978.0,4997.58,21046.56,5.11,33613.859
2019-09-12,34.76,-4997.58,978.0,4997.58,21046.56,5.11,33995.278
2019-09-13,35.26,-4997.58,978.0,4997.58,21046.56,5.11,34484.278
2019-09-16,35.0,-4997.58,978.0,4997.58,21046.56,5.11,34230.0
2019-09-17,35.99,-4997.58,978.0,4997.58,21046.56,5.11,35198.222
2019-09-18,35.84,-4997.58,978.0,4997.58,21046.56,5.11,35051.52
2019-09-19,36.04,-4997.58,978.0,4997.58,21046.56,5.11,35247.121
2019-09-20,36.29,-4997.58,978.0,4997.58,21046.56,5.11,35491.621
2019-09-23,36.02,-4997.58,978.0,4997.58,21046.56,5.11,35227.56
2019-09-24,35.02,-4997.58,978.0,4997.58,21046.56,5.11,34249.56
2019-09-25,35.11,-4997.58,978.0,4997.58,21046.56,5.11,34337.581
2019-09-26,35.34,-4997.58,978.0,4997.58,21046.56,5.11,34562.52
2019-09-27,33.77,-4997.58,978.0,4997.58,21046.56,5.11,33027.06
2019-09-30,34.24,-4997.58,978.0,4997.58,21046.56,5.11,33486.722
2019-10-01,33.85,-4997.58,978.0,4997.58,21046.56,5.11,33105.299
2019-10-02,33.71,-4997.58,978.0,4997.58,21046.56,5.11,32968.379
2019-10-03,36.39,-4997.58,978.0,4997.58,21046.56,5.11,35589.419
