date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue
2021-05-10,12.69,-4995.9,390.0,4995.9,1591.2,12.81,4949.1
2021-05-11,12.43,-4995.9,390.0,4995.9,1591.2,12.81,4847.7
2021-05-12,12.67,-4995.9,390.0,4995.9,1591.2,12.81,4941.3
2021-05-13,12.36,-4995.9,390.0,4995.9,1591.2,12.81,4820.4
2021-05-14,12.99,-4995.9,390.0,4995.9,1591.2,12.81,5066.1
2021-05-17,13.03,-4995.9,390.0,4995.9,1591.2,12.81,5081.7
2021-05-18,12.79,-4995.9,390.0,4995.9,1591.2,12.81,4988.1
2021-05-19,12.71,-4995.9,390.0,4995.9,1591.2,12.81,4956.9
2021-05-20,12.46,-4995.9,390.0,4995.9,1591.2,12.81,4859.4
2021-05-21,12.16,-4995.9,390.0,4995.9,1591.2,12.81,4742.4
2021-05-24,12.3,-4995.9,390.0,4995.9,1591.2,12.81,4797.0
2021-05-25,11.97,-4995.9,390.0,4995.9,1591.2,12.81,4668.3
2021-05-26,11.81,-4995.9,390.0,4995.9,1591.2,12.81,4605.9
2021-05-27,11.7,-4995.9,390.0,4995.9,1591.2,12.81,4563.0
2021-05-28,11.94,-4995.9,390.0,4995.9,1591.2,12.81,4656.6
2021-06-01,12.44,-4995.9,390.0,4995.9,1591.2,12.81,4851.6
2021-06-02,12.79,-4995.9,390.0,4995.9,1591.2,12.81,4988.1
2021-06-03,12.86,-4995.9,390.0,4995.9,1591.2,12.81,5015.4
2021-06-04,13.04,-4995.9,390.0,4995.9,1591.2,12.81,5085.6
2021-06-07,13.34,-4995.9,390.0,4995.9,1591.2,12.81,5202.6
2021-06-08,13.29,-4995.9,390.0,4995.9,1591.2,12.81,5183.1
2021-06-09,13.12,-4995.9,390.0,4995.9,1591.2,12.81,5116.8
2021-06-10,13.18,-4995.9,390.0,4995.9,1591.2,12.81,5140.2
2021-06-11,13.11,-4995.9,390.0,4995.9,1591.2,12.81,5112.9
2021-06-14,13.15,-4995.9,390.0,4995.9,1591.2,12.81,5128.5
2021-06-15,13.21,-4995.9,390.0,4995.9,1591.2,12.81,5151.9
2021-06-16,13.07,-4995.9,390.0,4995.9,1591.2,12.81,5097.3
2021-06-17,12.77,-4995.9,390.0,4995.9,1591.2,12.81,4980.3
2021-06-18,12.69,-4995.9,390.0,4995.9,1591.2,12.81,4949.1
