date,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue
2020-12-10,37.549,-4954.851,96.154,4954.851,0.0,51.53,3610.527,6.394,-4998.685,625.0,4998.685,0.0,7.998,3996.091
2020-12-11,37.343,-4954.851,96.154,4954.851,0.0,51.53,3590.627,6.317,-4998.685,625.0,4998.685,0.0,7.998,3948.162
2020-12-14,37.993,-4954.851,96.154,4954.851,0.0,51.53,3653.171,6.403,-4998.685,625.0,4998.685,0.0,7.998,4002.082
2020-12-15,40.072,-4954.851,96.154,4954.851,0.0,51.53,3853.124,6.538,-4998.685,625.0,4998.685,0.0,7.998,4085.958
2020-12-16,40.23,-4954.851,96.154,4954.851,0.0,51.53,3868.287,6.633,-4998.685,625.0,4998.685,0.0,7.998,4145.869
2020-12-17,40.684,-4954.851,96.154,4954.851,0.0,51.53,3911.879,6.71,-4998.685,625.0,4998.685,0.0,7.998,4193.799
2020-12-18,41.373,-4954.851,96.154,4954.851,0.0,51.53,3978.214,6.7,-4998.685,625.0,4998.685,0.0,7.998,4187.807
2020-12-21,39.136,-4954.851,96.154,4954.851,0.0,51.53,3763.098,6.576,-4998.685,625.0,4998.685,0.0,7.998,4109.923
2020-12-22,39.501,-4954.851,96.154,4954.851,0.0,51.53,3798.162,6.528,-4998.685,625.0,4998.685,0.0,7.998,4079.966
2020-12-23,39.461,-4954.851,96.154,4954.851,0.0,51.53,3794.37,6.576,-4998.685,625.0,4998.685,0.0,7.998,4109.923
2020-12-24,39.698,-4954.851,96.154,4954.851,0.0,51.53,3817.114,6.576,-4998.685,625.0,4998.685,0.0,7.998,4109.923
2020-12-28,40.013,-4954.851,96.154,4954.851,0.0,51.53,3847.438,6.547,-4998.685,625.0,4998.685,0.0,7.998,4091.949
2020-12-29,40.242,-4954.851,96.154,4954.851,0.0,51.53,3869.408,6.633,-4998.685,625.0,4998.685,0.0,7.998,4145.869
2020-12-30,40.679,-4954.851,96.154,4954.851,0.0,51.53,3911.435,6.658,-4998.685,625.0,4998.685,0.0,7.998,4161.505
2020-12-31,39.914,-4954.851,96.154,4954.851,0.0,51.53,3837.887,6.62,-4998.685,625.0,4998.685,0.0,7.998,4137.45
2021-01-04,39.388,-4954.851,96.154,4954.851,0.0,51.53,3787.263,6.591,-4998.685,625.0,4998.685,0.0,7.998,4119.409
