,0
1841,COLB
1842,GBT
1843,GEF
1844,LOMA
1845,MPAA
1846,GGG
1847,TDS
1848,COWN
1849,MTH
1850,GTLS
1851,SKYW
1852,CONN
1853,EZPW
1854,GNL
1855,BXC
1856,NPO
1857,RCI
1858,LFIN
1859,BSMX
1860,MHLD
1861,AERI
1862,SOXX
1863,SEM
1864,CCU
1865,KPTI
1866,GEL
1867,AVID
1868,HEP
1869,GNRC
1870,WD
1871,SCHG
1872,TBBK
1873,IVC
1874,TOUR
1875,ITT
1876,MTRX
1877,EPOL
1878,BIV
1879,SPWR
1880,CHH
1881,SPYV
1882,BDJ
1883,PGTI
1884,MDP
1885,SLAB
1886,WWE
1887,RNG
1888,EHC
1889,PEGA
1890,NOVT
1891,DTE
1892,MYGN
1893,DEA
1894,PXLW
1895,DGRO
1896,ERF
1897,AEIS
1898,ETV
1899,LHCG
1900,NDAQ
1901,NFG
1902,WSFS
1903,CNNE
1904,WCC
1905,BRC
1906,PIRS
1907,AAT
1908,ENR
1909,NSA
1910,ABIO
1911,RFP
1912,SRRA
1913,MMYT
1914,UTHR
1915,CALM
1916,ALRM
1917,USAC
1918,MKTX
1919,LSCC
1920,PTGX
1921,WSR
1922,RWT
1923,ECPG
1924,SFL
1925,AME
1926,BKNG
1927,CSTE
1928,QNST
1929,SR
1930,PMTS
1931,SIMO
1932,AMED
1933,HRTG
1934,EUM
1935,IGF
1936,VNET
1937,AYX
1938,CHRS
1939,BEDU
1940,CIB
1941,FSP
1942,IIIN
1943,BLD
1944,HFWA
1945,SCSC
1946,QADA
1947,NETI
1948,BHLB
1949,CASI
1950,TSC
1951,RE
1952,LUNA
1953,FBC
1954,CLS
1955,PHK
1956,SFNC
1957,GBX
1958,DGRW
1959,VRS
1960,HUBB
1961,EPP
1962,EWM
1963,PBA
1964,UAN
1965,GMED
1966,VERU
1967,PB
1968,VVI
1969,MRCY
1970,TU
1971,LCII
1972,ICFI
1973,ACIW
1974,ADX
1975,PTCT
1976,TFSL
1977,ATNM
1978,CSU
1979,RRGB
1980,CECE
1981,IART
1982,VB
1983,APTS
1984,III
1985,JILL
1986,YELL
1987,WWW
1988,LXRX
1989,PRAA
1990,CLM
1991,RPT
1992,SCVL
1993,AFG
1994,KRNT
1995,CYD
1996,MYRG
1997,BANR
1998,CRESY
1999,XT
2000,IUSG
2001,FPH
2002,MNR
2003,FN
2004,CPK
2005,ORC
2006,SLF
2007,KL
2008,VSAT
2009,WK
2010,ADMS
2011,FUN
2012,SIGI
2013,SCHA
2014,CACI
2015,RMTI
2016,SUPV
2017,ALKS
2018,GLDD
2019,BOH
2020,FIZZ
2021,LIQT
2022,SBBP
2023,DORM
2024,EVBG
2025,IGOV
2026,AEMD
2027,ENV
2028,AIN
2029,CAE
2030,ATRS
2031,NUV
2032,HXL
2033,SPHD
2034,SWM
2035,TUSK
2036,EME
2037,VUZI
2038,OFG
2039,GLT
2040,IUSV
2041,PHG
2042,DUST
2043,MERC
2044,HEES
2045,CMO
2046,BXMX
2047,AZO
2048,AMZA
2049,AGFS
2050,IDV
2051,JKS
2052,SNCR
2053,TM
2054,UVV
2055,VNM
2056,BIOC
2057,HUBG
