,0
1836,AMWD
1837,CATY
1838,MSM
1839,COLB
1840,GBT
1841,GEF
1842,LOMA
1843,MPAA
1844,HCHC
1845,GGG
1846,TDS
1847,COWN
1848,MTH
1849,GTLS
1850,SKYW
1851,CONN
1852,EZPW
1853,GNL
1854,BXC
1855,NPO
1856,RCI
1857,LFIN
1858,BSMX
1859,MHLD
1860,AERI
1861,BAK
1862,SOXX
1863,SEM
1864,CCU
1865,KPTI
1866,GEL
1867,AVID
1868,HEP
1869,SLDB
1870,GNRC
1871,WD
1872,SCHG
1873,TBBK
1874,IVC
1875,TOUR
1876,ITT
1877,MTRX
1878,EPOL
1879,BIV
1880,SPWR
1881,CHH
1882,SPYV
1883,BDJ
1884,PGTI
1885,MDP
1886,SLAB
1887,WWE
1888,RNG
1889,EHC
1890,PEGA
1891,NOVT
1892,DTE
1893,MYGN
1894,DEA
1895,PXLW
1896,DGRO
1897,ERF
1898,AEIS
1899,ETV
1900,LHCG
1901,NDAQ
1902,NFG
1903,WSFS
1904,CNNE
1905,WCC
1906,BRC
1907,PIRS
1908,AAT
1909,ENR
1910,NSA
1911,ABIO
1912,RFP
1913,SRRA
1914,MMYT
1915,UTHR
1916,CALM
1917,ALRM
1918,USAC
1919,MKTX
1920,LSCC
1921,PTGX
1922,WSR
1923,RWT
1924,ECPG
1925,SFL
1926,AME
1927,BKNG
1928,CSTE
1929,QNST
1930,SR
1931,PMTS
1932,SIMO
1933,AMED
1934,HRTG
1935,EUM
1936,IGF
1937,VNET
1938,AYX
1939,CHRS
1940,BWB
1941,BEDU
1942,CIB
1943,FSP
1944,IIIN
1945,BLD
1946,HFWA
1947,SCSC
1948,QADA
1949,NETI
1950,BHLB
1951,CASI
1952,TSC
1953,RE
1954,LUNA
1955,FBC
1956,CLS
1957,PHK
1958,SFNC
1959,GBX
1960,DGRW
1961,VRS
1962,HUBB
1963,EPP
1964,EWM
1965,PBA
1966,UAN
1967,GMED
1968,VERU
1969,PB
1970,VVI
1971,MRCY
1972,TU
1973,LCII
1974,ICFI
1975,ACIW
1976,ADX
1977,PTCT
1978,TFSL
1979,ATNM
1980,CSU
1981,RRGB
1982,CECE
1983,IART
1984,VB
1985,APTS
1986,III
1987,JILL
1988,YELL
1989,WWW
1990,LXRX
1991,PRAA
1992,CLM
1993,RPT
1994,SCVL
1995,AFG
1996,KRNT
1997,MYRG
1998,BANR
1999,CRESY
2000,XT
2001,IUSG
2002,FPH
2003,MNR
2004,FN
2005,CPK
2006,ORC
2007,SLF
2008,KL
2009,VSAT
2010,WK
2011,ADMS
2012,FUN
2013,SIGI
2014,SCHA
2015,CACI
2016,RMTI
2017,SUPV
2018,ALKS
2019,GLDD
2020,BOH
2021,FIZZ
2022,LIQT
2023,CEPU
2024,SBBP
2025,DORM
2026,EVBG
2027,IGOV
2028,AEMD
2029,ENV
2030,AIN
2031,CAE
2032,ATRS
2033,NUV
2034,HXL
2035,SPHD
2036,SWM
2037,TUSK
2038,EME
2039,VUZI
2040,OFG
2041,GLT
2042,IUSV
2043,PHG
2044,DUST
2045,MERC
2046,HEES
2047,CMO
2048,BXMX
2049,AZO
2050,AMZA
2051,AGFS
2052,IDV
2053,JKS
2054,SNCR
2055,UVV
2056,VNM
2057,BIOC
